LAST SEEN   TYPE      REASON                   OBJECT                                                                               MESSAGE
30m         Normal    Scheduled                pod/my-portal-postgresql-0                                                           Successfully assigned sagpaul-installer/my-portal-postgresql-0 to ip-10-0-69-30.ap-south-1.compute.internal
147m        Warning   FailedScheduling         pod/my-portal-rhaap-portal-6966ffdd9f-dzj6j                                          0/6 nodes are available: 2 Insufficient cpu, 3 Insufficient memory, 3 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/6 nodes are available: 3 No preemption victims found for incoming pod, 3 Preemption is not helpful for scheduling.
147m        Warning   FailedScheduling         pod/my-portal-rhaap-portal-6966ffdd9f-dzj6j                                          0/6 nodes are available: waiting for ephemeral volume controller to create the persistentvolumeclaim "my-portal-rhaap-portal-6966ffdd9f-dzj6j-dynamic-plugins-root". not found
141m        Normal    Scheduled                pod/my-portal-rhaap-portal-6966ffdd9f-dzj6j                                          Successfully assigned sagpaul-installer/my-portal-rhaap-portal-6966ffdd9f-dzj6j to ip-10-0-0-7.ap-south-1.compute.internal
147m        Normal    Scheduled                pod/my-portal-postgresql-0                                                           Successfully assigned sagpaul-installer/my-portal-postgresql-0 to ip-10-0-69-30.ap-south-1.compute.internal
143m        Warning   FailedScheduling         pod/my-portal-rhaap-portal-6966ffdd9f-dzj6j                                          0/6 nodes are available: 2 Insufficient cpu, 3 Insufficient memory, 3 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/6 nodes are available: 3 No preemption victims found for incoming pod, 3 Preemption is not helpful for scheduling.
30m         Warning   FailedScheduling         pod/my-portal-rhaap-portal-6966ffdd9f-ttmdl                                          0/6 nodes are available: waiting for ephemeral volume controller to create the persistentvolumeclaim "my-portal-rhaap-portal-6966ffdd9f-ttmdl-dynamic-plugins-root". not found
30m         Warning   FailedScheduling         pod/my-portal-rhaap-portal-6966ffdd9f-ttmdl                                          running PreFilter plugin "VolumeBinding": error getting PVC "sagpaul-installer/my-portal-rhaap-portal-6966ffdd9f-ttmdl-dynamic-plugins-root": could not find v1.PersistentVolumeClaim "sagpaul-installer/my-portal-rhaap-portal-6966ffdd9f-ttmdl-dynamic-plugins-root"
30m         Normal    Scheduled                pod/my-portal-rhaap-portal-6966ffdd9f-ttmdl                                          Successfully assigned sagpaul-installer/my-portal-rhaap-portal-6966ffdd9f-ttmdl to ip-10-0-0-7.ap-south-1.compute.internal
147m        Normal    SuccessfulCreate         statefulset/my-portal-postgresql                                                     create Claim data-my-portal-postgresql-0 Pod my-portal-postgresql-0 in StatefulSet my-portal-postgresql success
147m        Normal    SuccessfulCreate         replicaset/my-portal-rhaap-portal-6966ffdd9f                                         Created pod: my-portal-rhaap-portal-6966ffdd9f-dzj6j
147m        Normal    ExternalProvisioning     persistentvolumeclaim/data-my-portal-postgresql-0                                    Waiting for a volume to be created either by the external provisioner 'ebs.csi.aws.com' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
147m        Normal    Provisioning             persistentvolumeclaim/data-my-portal-postgresql-0                                    External provisioner is provisioning volume for claim "sagpaul-installer/data-my-portal-postgresql-0"
147m        Normal    ScalingReplicaSet        deployment/my-portal-rhaap-portal                                                    Scaled up replica set my-portal-rhaap-portal-6966ffdd9f from 0 to 1
147m        Normal    WaitForFirstConsumer     persistentvolumeclaim/data-my-portal-postgresql-0                                    waiting for first consumer to be created before binding
147m        Normal    SuccessfulCreate         statefulset/my-portal-postgresql                                                     create Pod my-portal-postgresql-0 in StatefulSet my-portal-postgresql successful
147m        Normal    ProvisioningSucceeded    persistentvolumeclaim/data-my-portal-postgresql-0                                    Successfully provisioned volume pvc-e2a21924-cd86-4281-b2d6-2d87d70022e4
147m        Normal    SuccessfulAttachVolume   pod/my-portal-postgresql-0                                                           AttachVolume.Attach succeeded for volume "pvc-e2a21924-cd86-4281-b2d6-2d87d70022e4"
146m        Normal    Pulled                   pod/my-portal-postgresql-0                                                           Container image "registry.redhat.io/rhel9/postgresql-15@sha256:8a00879923de4ed645006786a211c6fccc46b578db09edb58090a0a2bdca7a27" already present on machine
146m        Normal    AddedInterface           pod/my-portal-postgresql-0                                                           Add eth0 [10.131.1.94/23] from ovn-kubernetes
146m        Normal    Created                  pod/my-portal-postgresql-0                                                           Created container: postgresql
146m        Normal    Started                  pod/my-portal-postgresql-0                                                           Started container postgresql
141m        Normal    WaitForPodScheduled      persistentvolumeclaim/my-portal-rhaap-portal-6966ffdd9f-dzj6j-dynamic-plugins-root   waiting for pod my-portal-rhaap-portal-6966ffdd9f-dzj6j to be scheduled
141m        Normal    ExternalProvisioning     persistentvolumeclaim/my-portal-rhaap-portal-6966ffdd9f-dzj6j-dynamic-plugins-root   Waiting for a volume to be created either by the external provisioner 'ebs.csi.aws.com' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
141m        Normal    Provisioning             persistentvolumeclaim/my-portal-rhaap-portal-6966ffdd9f-dzj6j-dynamic-plugins-root   External provisioner is provisioning volume for claim "sagpaul-installer/my-portal-rhaap-portal-6966ffdd9f-dzj6j-dynamic-plugins-root"
141m        Normal    ProvisioningSucceeded    persistentvolumeclaim/my-portal-rhaap-portal-6966ffdd9f-dzj6j-dynamic-plugins-root   Successfully provisioned volume pvc-cf837a43-eaac-4ca0-a1f3-fafbf36ef9c0
141m        Normal    SuccessfulAttachVolume   pod/my-portal-rhaap-portal-6966ffdd9f-dzj6j                                          AttachVolume.Attach succeeded for volume "pvc-cf837a43-eaac-4ca0-a1f3-fafbf36ef9c0"
141m        Normal    Created                  pod/my-portal-rhaap-portal-6966ffdd9f-dzj6j                                          Created container: install-dynamic-plugins
141m        Normal    AddedInterface           pod/my-portal-rhaap-portal-6966ffdd9f-dzj6j                                          Add eth0 [10.129.3.122/23] from ovn-kubernetes
